0mM,0mM,0mM,0mM,0mM,0mM,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.61,-0.61,0,-1.23,-0.61,-1.83,-1.22,-0.61,0.61,0.61,-2.44,0.61,-0.62,-1.83,-3.05,-2.44,-1.22,-3.05,0,0.611,0.611,0,0,0,0,0,-0.61,0,0,-1.23,-4.27,-0.61,-3.66,-0.61,-3.66,0,-1.22,-0.61,0,0,0,0.61,-2.44,-1.22,-3.05,-1.22,0,0,-0.61,0,0,0.611,0.611
0,0,1.23,0,-1.84,-0.61,-3.05,-3.05,-2.45,1.22,0,-4.88,0,-1.84,-4.27,-6.71,-5.5,-3.05,-6.71,-1.22,0.611,0.611,0.61,0.61,1.83,2.45,-0.62,0,-0.61,0,-3.67,-9.16,-0.61,-7.94,-2.44,-5.49,-0.61,-2.44,-1.83,-0.61,-0.61,-0.61,1.22,-3.66,-1.83,-5.49,-2.44,-0.61,0,-0.61,-0.61,0.61,0.611,0.611
0,-0.61,4.28,0.61,-2.45,-1.221,-4.27,-3.66,-4.28,1.22,0,-7.33,-1.84,-4.89,-6.11,-8.55,-7.94,-3.66,-10.38,-0.61,0.611,0,0.61,0.61,3.05,0.61,-1.23,-0.61,-1.22,-0.62,-5.5,-12.82,-0.61,-10.99,-3.05,-7.94,-0.61,-3.05,-3.05,-0.61,-0.61,-0.61,1.22,-6.1,-1.83,-8.55,-3.66,-1.83,0.61,0.61,-0.61,0.61,0.611,0
3.05,0,4.89,1.22,-2.45,-1.829,-5.49,-3.66,-6.72,1.83,0,-8.549,-3.06,-7.33,-7.94,-10.989,-10.38,-5.49,-12.82,-0.61,0,-0.611,0,0,3.66,-0.61,-2.45,-1.83,-1.83,-0.62,-6.72,-14.04,0,-14.04,-4.28,-9.77,0,-4.27,-3.05,0,0,0,1.22,-8.55,-2.44,-10.99,-4.28,-2.44,-0.61,0,0,0,0,-0.611
4.88,0,4.28,2.44,-3.06,-1.829,-6.1,-4.27,-9.16,1.22,-0.61,-10.381,-4.28,-9.77,-8.55,-12.21,-12.21,-6.1,-15.26,0,-0.61,-0.611,0,0,4.27,-1.83,-3.67,-1.83,-2.44,-1.84,-7.33,-15.88,-0.61,-15.87,-4.89,-11.6,0,-4.27,-4.28,0,0,0.61,1.83,-9.77,-3.05,-12.21,-6.11,-3.05,-1.83,1.22,0.61,0,-0.61,-0.611
4.27,0,3.06,2.44,-2.45,-1.829,-7.32,-4.27,-11,1.83,-0.61,-11.602,-5.5,-11,-9.77,-12.821,-13.43,-7.33,-17.7,0.61,-0.61,-0.611,0,0,4.88,-4.27,-4.89,-1.83,-1.83,-1.84,-7.94,-16.49,-0.61,-18.32,-5.5,-13.43,0,-4.88,-4.28,0,0,1.83,1.83,-10.99,-3.66,-14.04,-7.33,-4.88,-3.66,0,1.83,0,-0.61,-0.611
2.44,-0.61,3.06,1.83,-2.45,-1.829,-7.93,-4.88,-13.44,1.22,0,-12.82,-6.72,-12.83,-10.38,-13.431,-14.66,-7.33,-18.93,1.84,-1.221,-1.221,-0.61,-0.61,5.49,-5.49,-4.89,-2.44,-2.44,-2.45,-8.55,-17.71,-0.61,-20.15,-6.11,-14.65,0,-4.88,-4.28,0,0,1.83,2.44,-12.82,-4.27,-15.26,-7.94,-5.49,-4.28,0,1.83,-0.61,-1.221,-1.221
1.83,-0.61,2.45,1.83,-1.84,-1.829,-8.55,-4.88,-14.66,1.22,0,-14.04,-8.55,-13.44,-10.99,-13.431,-15.27,-8.55,-19.54,2.45,-1.829,-1.832,-0.61,-0.61,5.49,-6.1,-5.5,-2.44,-2.44,-3.06,-9.16,-18.32,-1.22,-20.76,-6.11,-15.88,0,-4.88,-3.67,0,0,1.83,2.44,-14.65,-4.88,-15.87,-9.16,-6.72,-5.5,0,1.83,-0.61,-1.829,-1.832
1.22,-1.83,1.23,1.22,-2.45,-1.829,-9.77,-5.49,-16.49,1.83,0,-14.66,-9.16,-14.66,-10.99,-14.042,-15.88,-8.55,-20.15,3.67,-1.829,-1.832,-0.61,-0.61,6.1,-7.93,-6.72,-2.44,-1.83,-2.45,-9.16,-18.93,-1.22,-21.37,-6.72,-16.49,0.61,-4.88,-3.67,0.61,0.61,1.22,2.44,-15.88,-5.49,-17.1,-10.38,-7.33,-6.718,-1.22,1.22,-0.61,-1.829,-1.832
