0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM,400mM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.61,0,-3.05,-1.83,0.61,0,0,0,0,1.23,0,0.61,1.22,0,-0.61,-0.61,0,-1.23,-0.61,0,8.55,-1.22,0,3.67,-1.22,-2.44,-0.608,-2.44,0,-4.28,0,0.61,0.61,-1.83,-1.22,-0.61,0.61,0.61,-2.44,-1.22,0,-1.83,0,0.61,0.61,-1.83,-1.22,-1.83,0.61,-1.22,-0.61,0,-3.05,-2.44,0.61,-0.62,-1.83,-3.05,-2.44,-1.22,-1.22,0.61,-1.22,-1.22,-1.84,-1.83,-1.22,-3.05,0,0.611,0.611,0,0,-0.61,-3.06,-3.06,-1.22,0,-2.44,-0.61,0,-1.84,1.22,-1.22,-0.61,1.22,0,0,0,0,0,-0.61,0,0,0,-0.61,0,-0.61,-0.61,-0.61,-1.23,0,-1.23,-4.27,-0.61,-3.66,-0.61,-3.66,0.61,-0.61,-2.44,-2.44,-1.22,-1.22,-3.06,-3.06,-1.22,0,-2.44,-1.22,0,-1.22,-0.61,0,0,0,0,0,-0.61,0,0,0.611,0.611,0,0,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-1.22,-1.22,-1.22,-1.83,-1.83,-1.23,-1.83,-1.83,-0.61,-1.22,-0.61,-0.61,-0.61,-1.23,0,-1.221,-1.22,0,-0.61,0,-0.61,0.61,-0.61,-2.45,-0.62,-1.22,-0.61,-1.22,-0.61,0,-1.83,-1.22,-0.61,-0.61,0,0.61,0,0,-1.22,1.22,0,-1.22,-1.22,1.22,-0.61,0,1.22,1.22,0.61,-0.61,-0.61,0.61,0.61,1.83,-0.61,0.61,0.61,0,0,0,0,0,0,-0.61,-1.22,-1.22,0,0,0.61,0,0.62,0,1.22,1.22,-1.22,-2.44,1.22,2.45,0.61,0,2.45,2.45,1.22,-1.83,-1.84,1.22,1.22,0,-0.61,0,0,0,-0.61,0,-0.61,-0.61,-0.61,0,0,-0.61,0,0,-0.61,-1.22,-1.22,-0.61,-0.61,-0.61,0.61,-0.61,0,-0.61,0,-4.28,-0.61,-4.88,0,0,-0.61,0,-2.44,-0.61,0,0.61,0.61,-2.44,-1.22,-3.05,-1.22,0,-1.83,-1.22,0,-1.22,-0.61,-1.22,0,0,0,0,-0.61,0,0,0.611,0.611,0,0,-0.61,1.22,-0.61,-0.61,-0.61
-0.61,0,-6.71,-3.06,1.83,6.72,0,0,0,0.62,0.61,0,0.61,0,0,1.23,0,-1.84,-0.61,0,9.77,-3.05,0,2.45,-2.44,-5.5,-2.44,-4.88,0,-9.16,-2.45,-3.67,-0.61,-3.05,-3.05,-2.45,1.22,0,-4.88,-3.05,-1.83,-4.89,0,0,0.61,-4.89,-2.44,-3.66,0.61,0,0,0,-7.93,-4.88,0,-1.84,-4.27,-6.71,-5.5,-3.05,-4.27,0,-3.67,-1.83,-2.45,-3.06,-3.05,-6.71,-1.22,0.611,0.611,0.61,0.61,-2.44,-6.11,-5.5,-2.45,0,-4.27,-3.67,-2.44,-4.28,0,-3.05,-2.45,1.22,0.61,0,1.83,2.45,-0.62,0,-0.61,0,0,-1.22,-1.22,-1.83,-1.22,-1.22,-2.45,-1.83,-3.67,-9.16,-0.61,-7.94,-2.44,-5.49,1.22,-0.61,-3.66,-4.27,-3.05,-3.05,-6.11,-5.5,-2.45,0,-4.27,-3.06,-0.61,-2.44,-1.83,-0.61,-0.61,-0.61,0,0.61,-0.61,-0.61,0.61,0.611,0.611,0.61,0.61,-2.44,-1.83,-1.22,-2.44,-2.44,-1.22,-1.83,-2.44,-2.44,-2.44,-1.83,-1.83,-1.23,-1.83,-1.83,-1.22,-2.45,-1.83,-1.22,-1.22,-1.23,-1.22,-1.221,-0.61,-0.61,-1.84,0,-1.22,0,-1.84,-4.89,-1.84,-1.83,-1.83,-1.22,-1.83,0,-1.22,-0.61,-1.83,-1.22,0,0.61,-0.62,0,-3.05,1.22,-0.62,-3.05,-3.05,0.61,-1.83,-0.61,0.61,0.61,0,-1.22,-0.61,0,0,1.22,-2.45,1.22,1.22,0.61,-0.61,0,0.61,0.61,0,-1.83,-2.44,-2.45,0,0,0.61,0,0,0,1.83,-0.61,-4.28,-5.49,1.83,3.06,0.61,-0.61,3.06,3.06,0,-3.05,-3.06,0,0,0,0,-0.61,0,0,-1.22,-1.22,-1.83,-1.22,-1.22,-0.61,-1.23,-1.83,-0.61,-0.61,-1.22,-2.44,-2.44,-1.83,-1.22,-1.22,0,-1.22,-0.61,-1.22,-1.83,-8.55,-2.44,-9.77,0.61,-0.61,0,-0.61,-6.11,-2.438,0,0.61,1.22,-3.66,-1.83,-5.49,-2.44,-0.61,-3.67,-3.66,3.66,4.27,4.27,0,1.222,-0.61,0,0,-0.61,-0.61,0.61,0.611,0.611,0.61,0.61,-2.44,0.61,-3.05,-0.61,-0.61
-1.221,0.61,-8.55,-4.28,1.83,9.77,0,0,1.22,2.45,0,1.22,1.83,0,-0.61,4.28,0.61,-2.45,-1.221,1.22,9.16,-5.49,0,0,-4.28,-7.94,-3.661,-7.33,-1.22,-14.05,-3.06,-7.94,-1.22,-4.27,-3.66,-4.28,1.22,0,-7.33,-3.05,-4.27,-8.55,0.61,-1.84,1.83,-8.55,-4.28,-5.49,1.83,0.61,1.22,0.61,-12.82,-9.16,-1.84,-4.89,-6.11,-8.55,-7.94,-3.66,-6.71,0.61,-4.89,-3.05,-3.06,-5.5,-4.88,-10.38,-0.61,0.611,0,0.61,0.61,-3.05,-8.55,-7.94,-4.89,-0.61,-5.49,-6.11,-4.27,-7.94,-2.45,-5.49,-4.89,-0.61,0,-0.61,3.05,0.61,-1.23,-0.61,-1.22,-0.62,-0.62,-3.05,-3.06,-3.66,-3.05,-3.05,-3.67,-3.06,-5.5,-12.82,-0.61,-10.99,-3.05,-7.94,1.22,-1.22,-4.89,-5.49,-4.28,-4.27,-8.55,-7.94,-4.89,-0.61,-5.49,-4.28,-0.61,-3.05,-3.05,-0.61,-0.61,-0.61,0,0,0.61,-0.61,0.61,0.611,0,0.61,0.61,-3.05,-3.66,-2.44,-3.05,-3.05,-2.44,-2.44,-2.44,-2.44,-2.44,-3.05,-2.45,-1.23,-3.05,-3.05,-1.84,-3.06,-2.44,-1.84,-1.84,-1.84,-0.61,-1.221,-1.22,-0.61,-2.45,-0.61,-1.22,0,-2.45,-6.72,-1.84,-2.44,-1.83,-1.22,-2.45,-0.61,-1.83,-0.61,-2.45,-0.61,0,1.22,-0.62,0,-2.44,0.61,-0.62,-2.44,-2.44,0,-1.83,-1.22,0,0,-0.61,-1.22,-1.83,-0.61,-0.61,-0.61,-3.06,0,0,1.22,-0.61,0,1.22,1.22,-1.22,-2.44,-3.05,-3.06,-1.22,0,0.61,0,0,0,0,-2.45,-5.5,-8.55,0,2.45,0.61,-0.61,2.45,2.45,-1.83,-3.67,-3.67,-1.83,-1.83,-0.62,-0.61,-1.22,-0.62,-0.62,-3.05,-3.06,-3.66,-3.05,-3.05,-2.44,-3.06,-4.88,-2.44,-2.44,-1.83,-3.05,-3.66,-3.05,-1.83,-1.83,-0.61,-1.83,-1.22,-1.83,-4.88,-12.21,-4.89,-14.65,0,-1.829,-1.22,-3.05,-7.94,-2.438,-0.611,0.61,1.22,-6.1,-1.83,-8.55,-3.66,-1.83,-4.89,-4.88,5.49,6.11,6.71,0.61,3.051,-0.61,0,0.61,0.61,-0.61,0.61,0.611,0,0.61,0.61,-3.05,-0.61,-6.72,-1.83,-1.832
-1.829,0,-10.38,-5.5,0.61,7.33,0.61,0.61,3.05,4.28,-1.22,3.06,3.06,3.05,0,4.89,1.22,-2.45,-1.829,3.05,8.55,-6.72,-0.608,-1.22,-4.89,-10.99,-5.49,-10.38,-3.05,-17.1,-4.89,-10.38,-1.83,-5.49,-3.66,-6.72,1.83,0,-8.549,-4.88,-5.49,-10.38,-1.22,-3.06,0.61,-10.38,-5.5,-6.71,0.61,0.61,0,-1.22,-17.09,-10.99,-3.06,-7.33,-7.94,-10.989,-10.38,-5.49,-9.77,0.61,-6.72,-3.05,-3.67,-6.11,-6.72,-12.82,-0.61,0,-0.611,0,0,-3.66,-11,-9.77,-6.11,-0.61,-6.1,-9.16,-6.71,-11,-3.67,-8.55,-6.72,-1.83,0.61,-0.61,3.66,-0.61,-2.45,-1.83,-1.83,-0.62,-0.62,-4.88,-4.89,-5.49,-4.88,-4.88,-5.5,-3.06,-6.72,-14.04,0,-14.04,-4.28,-9.77,1.83,-0.61,-4.89,-6.71,-6.11,-6.11,-11,-9.77,-6.11,-0.61,-6.1,-4.89,0,-4.27,-3.05,0,0,0,0,0.61,0,0,0,0,-0.611,0,0,-3.66,-3.66,-1.83,-3.66,-3.66,-3.05,-2.44,-3.05,-3.05,-3.05,-3.05,-3.06,-1.84,-3.05,-3.05,-3.06,-4.28,-3.05,-3.06,-3.06,-2.45,-1.22,-1.832,-1.22,-0.61,-3.67,-0.61,-1.22,0.61,-3.67,-7.94,-3.06,-3.05,-2.44,-1.84,-3.06,-0.61,-1.22,-0.61,-3.06,-0.61,0,0.61,-0.62,0,-3.66,0.61,-1.23,-3.66,-3.66,-0.61,-2.44,-1.83,-0.61,-0.61,-1.22,-1.83,-1.83,-1.22,-1.22,-1.22,-5.5,-1.22,-1.22,0.61,0.61,3.06,0.61,0.61,-2.44,-3.66,-4.27,-3.67,-2.44,0,0.61,0,0.62,0,-1.83,-4.28,-7.94,-9.77,-1.83,2.45,0,-1.22,2.45,2.45,-2.44,-4.28,-3.67,-2.44,-2.44,-0.62,-1.83,-1.83,-0.62,-0.62,-4.88,-4.89,-5.49,-4.88,-4.88,-3.67,-5.5,-6.72,-3.67,-3.67,-2.44,-4.27,-3.66,-3.05,-2.44,-1.83,-0.61,-1.83,-1.22,-1.83,-6.71,-15.27,-7.33,-18.93,-0.61,-4.889,-2.44,-6.1,-8.55,-3.659,-1.219,0.61,1.22,-8.55,-2.44,-10.99,-4.28,-2.44,-6.719,-6.71,4.88,4.88,7.93,0,2.443,-1.22,-0.61,-0.61,0,0,0,0,-0.611,0,0,-3.66,-1.22,-9.77,-3.05,-2.442
-1.829,0,-12.21,-6.11,0,4.89,-0.61,0,1.22,4.89,-1.83,3.67,3.06,4.88,0,4.28,2.44,-3.06,-1.829,1.22,7.94,-7.94,-0.608,-3.05,-6.11,-12.21,-5.49,-11.6,-4.27,-21.38,-6.11,-13.44,-2.44,-6.1,-4.27,-9.16,1.22,-0.61,-10.381,-5.49,-6.72,-12.22,-2.44,-4.28,-0.61,-12.22,-6.11,-7.93,-0.61,0.61,-0.61,-2.44,-21.98,-12.21,-4.28,-9.77,-8.55,-12.21,-12.21,-6.1,-11.6,0.61,-7.33,-3.66,-3.67,-6.72,-8.55,-15.26,0,-0.61,-0.611,0,0,-4.88,-11.61,-10.99,-7.94,-0.61,-7.32,-11.6,-9.15,-14.66,-6.11,-10.38,-8.55,-3.66,0,-1.22,4.27,-1.83,-3.67,-1.83,-2.44,-1.84,-1.84,-6.1,-6.72,-6.72,-6.1,-6.1,-4.89,-3.06,-7.33,-15.88,-0.61,-15.87,-4.89,-11.6,1.83,-1.83,-5.5,-7.93,-6.72,-6.72,-11.61,-10.99,-7.94,-0.61,-7.32,-5.5,0,-4.27,-4.28,0,0,0.61,1.22,1.22,1.22,0.61,0,-0.61,-0.611,0,0,-4.88,-4.27,-2.44,-4.88,-4.88,-3.67,-3.05,-3.05,-3.05,-3.05,-3.67,-3.06,-1.84,-3.67,-3.67,-3.67,-4.28,-3.05,-3.67,-3.67,-2.45,-1.22,-1.221,-1.828,-0.61,-3.67,-1.22,-1.22,0.61,-3.67,-8.55,-3.67,-3.66,-3.05,-2.45,-3.67,-0.61,-1.22,0.61,-3.67,-0.61,0,1.22,-0.62,-0.61,-3.66,0,-1.23,-3.66,-3.66,-2.44,-3.66,-2.44,-2.44,-2.44,-1.83,-2.44,-3.05,-1.83,-1.83,-1.83,-6.11,-1.83,-1.83,1.83,3.66,3.67,1.83,1.83,-3.66,-3.66,-4.27,-3.67,-3.66,0,0.61,0,0.62,-0.61,-3.66,-6.11,-9.16,-11.6,-3.66,1.84,0,-1.83,1.84,1.84,-3.05,-4.89,-4.28,-3.05,-3.05,-1.84,-1.83,-2.44,-1.84,-1.84,-6.1,-6.72,-6.72,-6.1,-6.1,-4.89,-6.72,-7.94,-4.89,-4.89,-3.05,-4.27,-4.28,-3.05,-3.05,-1.83,-0.61,-2.44,-1.22,-1.83,-8.55,-16.49,-9.77,-22.59,-2.44,-7.329,-4.27,-9.16,-9.77,-4.27,-1.219,0,1.83,-9.77,-3.05,-12.21,-6.11,-3.05,-7.941,-7.32,4.88,3.05,7.32,-0.61,0.611,-1.83,-1.22,-1.83,1.22,0.61,0,-0.61,-0.611,0,0,-4.88,-3.66,-11.6,-4.27,-3.053
-1.829,1.22,-13.43,-7.33,-0.61,2.45,-1.83,-1.83,0,4.89,-3.05,3.06,1.83,4.27,0,3.06,2.44,-2.45,-1.829,0,7.33,-9.77,-1.218,-4.27,-6.72,-14.05,-7.33,-14.04,-4.88,-23.21,-6.72,-15.27,-3.05,-7.32,-4.27,-11,1.83,-0.61,-11.602,-4.88,-7.94,-12.83,-2.44,-5.5,-1.83,-12.83,-6.72,-8.54,-1.83,-0.61,-1.83,-2.44,-25.03,-12.82,-5.5,-11,-9.77,-12.821,-13.43,-7.33,-14.04,0.61,-8.55,-4.89,-3.06,-7.94,-9.77,-17.7,0.61,-0.61,-0.611,0,0,-5.49,-12.22,-12.22,-9.16,-1.22,-7.93,-13.44,-11.6,-17.71,-8.55,-14.04,-10.99,-4.89,0,-1.22,4.88,-4.27,-4.89,-1.83,-1.83,-1.84,-1.84,-7.32,-8.55,-7.94,-7.32,-7.32,-5.5,-3.67,-7.94,-16.49,-0.61,-18.32,-5.5,-13.43,2.45,-1.22,-5.5,-8.54,-7.94,-7.94,-12.22,-12.22,-9.16,-1.22,-7.93,-6.11,0,-4.88,-4.28,0,0,1.83,1.83,1.83,0,1.83,0,-0.61,-0.611,0,0,-5.49,-4.27,-2.44,-5.49,-5.49,-3.05,-3.66,-3.05,-3.05,-3.05,-3.67,-3.06,-1.23,-3.67,-3.67,-4.28,-4.89,-3.05,-4.28,-4.28,-2.45,-1.83,-1.221,-1.22,-1.22,-4.28,-1.22,-1.22,0,-4.28,-9.77,-3.67,-4.27,-3.05,-1.84,-4.28,0,-1.22,0.61,-4.28,-0.61,0,1.22,-0.62,-1.22,-4.88,0,-1.84,-4.88,-4.88,-3.05,-4.27,-3.05,-3.05,-3.05,-1.83,-3.05,-3.66,-1.83,-1.83,-3.05,-6.72,-2.45,-2.45,3.67,3.05,3.06,3.67,3.67,-4.28,-3.66,-4.27,-3.06,-4.28,0.61,0,0,0,-0.61,-4.89,-7.33,-10.38,-11.6,-4.89,1.84,-0.61,-1.83,1.84,1.84,-4.27,-4.28,-4.28,-4.27,-4.27,-1.84,-1.83,-1.83,-1.84,-1.84,-7.32,-8.55,-7.94,-7.32,-7.32,-6.11,-8.55,-9.77,-6.11,-6.11,-3.05,-4.27,-4.28,-3.05,-3.05,-2.44,-1.22,-2.44,-1.83,-2.44,-10.38,-17.71,-10.99,-25.64,-3.66,-9.159,-5.5,-11.6,-9.77,-4.881,-1.219,-0.61,1.83,-10.99,-3.66,-14.04,-7.33,-4.88,-9.162,-8.55,4.27,1.83,6.1,-0.61,-0.61,-3.05,-2.44,-3.66,0,1.83,0,-0.61,-0.611,0,0,-5.49,-4.88,-14.05,-5.49,-4.271
-1.829,0.61,-14.65,-7.33,-1.22,0.61,-2.44,-3.05,-0.62,4.89,-3.05,3.06,-0.61,2.44,-0.61,3.06,1.83,-2.45,-1.829,-0.62,6.72,-9.77,-1.218,-4.88,-7.94,-15.88,-7.33,-15.88,-6.1,-25.65,-7.94,-17.1,-3.66,-7.93,-4.88,-13.44,1.22,0,-12.82,-6.1,-8.55,-14.05,-3.06,-6.72,-3.05,-14.05,-6.72,-8.54,-3.05,-1.83,-3.66,-3.06,-27.47,-14.04,-6.72,-12.83,-10.38,-13.431,-14.66,-7.33,-15.87,-0.61,-9.16,-4.89,-3.67,-7.94,-10.99,-18.93,1.84,-1.221,-1.221,-0.61,-0.61,-5.49,-14.05,-13.44,-10.99,-1.83,-8.54,-15.27,-12.82,-20.16,-10.38,-16.49,-11.6,-6.11,0,-1.83,5.49,-5.49,-4.89,-2.44,-2.44,-2.45,-2.45,-8.54,-9.77,-9.16,-8.54,-8.54,-5.5,-3.67,-8.55,-17.71,-0.61,-20.15,-6.11,-14.65,2.45,-1.83,-6.11,-9.15,-9.16,-9.16,-14.05,-13.44,-10.99,-1.83,-8.54,-6.11,0,-4.88,-4.28,0,0,1.83,1.83,0.61,0,1.83,-0.61,-1.221,-1.221,-0.61,-0.61,-5.49,-4.88,-3.05,-5.49,-5.49,-4.28,-3.05,-3.66,-3.66,-3.66,-4.28,-3.67,-1.23,-4.28,-4.28,-4.89,-4.89,-3.66,-4.89,-4.89,-3.06,-1.83,-1.832,-1.828,-1.22,-4.28,-0.61,-0.61,0.61,-4.28,-10.38,-4.28,-3.66,-3.05,-0.61,-4.28,0,0,1.83,-4.28,0,-0.61,0.61,-1.84,-0.61,-4.27,-0.61,-1.84,-4.27,-4.27,-3.05,-4.27,-3.05,-3.05,-3.05,-2.45,-3.66,-4.27,-2.45,-2.45,-4.27,-7.33,-3.06,-3.06,4.28,3.66,2.45,4.28,4.28,-4.28,-4.27,-4.27,-3.67,-4.28,0.61,0,-0.61,-0.61,-0.61,-5.5,-7.94,-10.99,-11.6,-5.5,1.84,-0.61,-2.44,1.84,1.84,-4.88,-4.89,-4.28,-4.88,-4.88,-2.45,-2.44,-2.44,-2.45,-2.45,-8.54,-9.77,-9.16,-8.54,-8.54,-7.33,-9.77,-10.99,-7.33,-7.33,-3.67,-5.5,-3.66,-3.05,-3.67,-3.05,-1.22,-2.44,-1.83,-3.05,-12.82,-18.32,-12.22,-28.09,-4.89,-11.599,-6.72,-14.65,-10.38,-4.881,-1.829,-0.61,2.44,-12.82,-4.27,-15.26,-7.94,-5.49,-10.38,-9.77,3.66,-0.61,5.49,-1.83,-2.439,-4.27,-3.05,-4.28,0,1.83,-0.61,-1.221,-1.221,-0.61,-0.61,-5.49,-6.1,-16.49,-7.32,-4.881
-1.829,1.22,-15.26,-7.94,-2.44,-1.22,-4.28,-4.27,-1.23,4.28,-3.05,1.83,-2.44,1.83,-0.61,2.45,1.83,-1.84,-1.829,-1.23,5.5,-11.6,-1.828,-6.1,-9.16,-17.71,-8.55,-17.1,-6.1,-26.87,-8.55,-18.32,-3.66,-8.55,-4.88,-14.66,1.22,0,-14.04,-6.1,-8.55,-14.658,-3.67,-8.55,-3.66,-14.658,-6.72,-9.16,-3.66,-1.22,-4.27,-3.67,-28.7,-14.04,-8.55,-13.44,-10.99,-13.431,-15.27,-8.55,-17.7,-1.23,-10.38,-5.5,-3.06,-8.55,-12.21,-19.54,2.45,-1.829,-1.832,-0.61,-0.61,-6.71,-14.66,-14.66,-11.6,-1.83,-9.16,-17.71,-14.04,-21.99,-11.61,-18.929,-12.22,-6.72,0.61,-1.22,5.49,-6.1,-5.5,-2.44,-2.44,-3.06,-3.06,-9.15,-11,-10.99,-9.15,-9.15,-6.11,-4.28,-9.16,-18.32,-1.22,-20.76,-6.11,-15.88,3.06,-1.83,-5.5,-10.38,-9.77,-9.77,-14.66,-14.66,-11.6,-1.83,-9.16,-6.72,0,-4.88,-3.67,0,0,1.83,0.61,0,0,1.83,-0.61,-1.829,-1.832,-0.61,-0.61,-6.71,-4.88,-3.05,-6.71,-6.71,-3.67,-3.05,-3.05,-3.05,-3.05,-4.28,-3.06,-1.23,-4.28,-4.28,-4.89,-4.89,-3.05,-4.89,-4.89,-3.06,-2.44,-1.221,-1.22,0,-4.28,-1.22,-0.61,1.22,-4.28,-10.99,-4.89,-4.27,-3.66,-0.61,-3.67,1.22,1.22,3.05,-3.67,0,-0.61,0.61,-1.23,-0.61,-4.88,-0.61,-1.84,-4.88,-4.88,-4.27,-4.27,-3.05,-4.27,-4.27,-3.06,-4.27,-4.88,-3.06,-3.06,-4.88,-7.33,-3.67,-3.67,3.67,2.44,1.22,3.67,3.67,-4.28,-4.27,-4.88,-3.67,-4.28,0,0,-0.61,0,-0.61,-5.5,-7.94,-10.99,-12.21,-5.5,1.23,-1.22,-2.44,1.23,1.23,-4.88,-4.89,-4.89,-4.88,-4.88,-3.06,-2.44,-2.44,-3.06,-3.06,-9.15,-11,-10.99,-9.15,-9.15,-8.55,-10.39,-12.82,-8.55,-8.55,-3.05,-4.27,-3.66,-2.44,-3.05,-2.44,-1.22,-2.44,-1.83,-2.44,-13.43,-19.54,-12.83,-29.92,-6.11,-12.819,-7.94,-16.48,-10.38,-5.491,-2.439,-1.22,2.44,-14.65,-4.88,-15.87,-9.16,-6.72,-11.6,-10.99,2.44,-3.05,3.05,-2.44,-4.279,-4.27,-3.66,-5.5,0,1.83,-0.61,-1.829,-1.832,-0.61,-0.61,-6.71,-7.94,-18.32,-7.94,-6.111
-1.829,1.83,-17.09,-7.94,-1.83,-2.44,-4.89,-6.11,-1.84,4.28,-3.66,0.61,-4.88,1.22,-1.83,1.23,1.22,-2.45,-1.829,-1.84,5.5,-10.99,-1.218,-6.71,-9.16,-18.93,-9.16,-19.54,-5.49,-28.09,-9.16,-18.93,-4.27,-9.77,-5.49,-16.49,1.83,0,-14.66,-6.71,-9.77,-15.879,-3.67,-9.16,-3.66,-15.879,-6.72,-9.77,-3.66,-1.83,-4.88,-3.67,-30.53,-14.65,-9.16,-14.66,-10.99,-14.042,-15.88,-8.55,-18.32,-0.61,-10.38,-5.5,-3.06,-9.16,-12.82,-20.15,3.67,-1.829,-1.832,-0.61,-0.61,-6.71,-14.66,-14.66,-12.83,-2.44,-9.16,-18.93,-15.26,-23.82,-14.05,-20.761,-13.44,-7.94,0,-1.22,6.1,-7.93,-6.72,-2.44,-1.83,-2.45,-2.45,-9.77,-12.22,-11.6,-9.77,-9.77,-6.11,-4.89,-9.16,-18.93,-1.22,-21.37,-6.72,-16.49,2.45,-2.44,-5.5,-10.38,-10.99,-10.99,-14.66,-14.66,-12.83,-2.44,-9.16,-6.72,0.61,-4.88,-3.67,0.61,0.61,1.22,0.61,0,-1.22,1.22,-0.61,-1.829,-1.832,-0.61,-0.61,-6.71,-4.27,-3.05,-6.71,-6.71,-4.28,-3.05,-2.44,-2.44,-2.44,-4.89,-3.06,-1.23,-4.89,-4.89,-4.89,-5.5,-3.05,-4.89,-4.89,-3.06,-1.83,-2.44,-1.22,-0.61,-4.28,-0.61,-0.61,1.22,-4.28,-11.61,-4.28,-3.66,-3.05,-0.61,-3.06,1.83,1.83,4.27,-3.06,-0.61,0,0.61,-1.84,-0.61,-5.49,-1.22,-1.84,-5.49,-5.49,-4.88,-5.5,-3.05,-4.88,-4.88,-3.67,-4.88,-5.5,-3.67,-3.67,-5.5,-7.33,-4.28,-4.28,3.67,1.22,0,3.67,3.67,-4.28,-4.88,-4.27,-3.67,-4.28,0.61,0,-0.61,0,-1.23,-5.5,-7.94,-10.99,-12.21,-5.5,1.23,-1.22,-2.44,1.23,1.23,-4.88,-5.5,-4.89,-4.88,-4.88,-2.45,-2.44,-1.83,-2.45,-2.45,-9.77,-12.22,-11.6,-9.77,-9.77,-9.16,-12.22,-13.43,-9.16,-9.16,-2.44,-4.27,-3.05,-1.22,-2.44,-3.05,-1.22,-2.44,-2.44,-3.05,-14.65,-18.93,-14.05,-31.14,-7.33,-14.659,-8.55,-18.32,-10.38,-4.881,-2.439,-1.83,2.44,-15.88,-5.49,-17.1,-10.38,-7.33,-12.83,-10.99,0.61,-5.5,1.22,-3.05,-5.499,-4.88,-4.27,-6.718,-1.22,1.22,-0.61,-1.829,-1.832,-0.61,-0.61,-6.71,-9.16,-20.76,-9.77,-6.111
