0mM,0mM,0mM,0mM,0mM,0mM,50mM,50mM,50mM,50mM,50mM,50mM,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.61,-0.61,0,-1.23,-0.61,-1.83,-1.22,-3.06,-1.22,-1.22,-1.83,-2.44,-6.72,-0.61,-0.61,-1.22,-0.61,-1.22,-3.06,-1.22,-1.22,-1.83,-2.44,-1.83,-1.83,0,-0.61,-1.83,-1.22,-0.61,-0.61,-1.23,0,-1.22,-1.22,0,0,0,0.61,0,0.61,-0.61,-0.61,-2.44,0,0,1.23,-1.83,-3.06,-0.61,-2.44,-3.67,-3.66
0,0,1.23,0,-1.84,-0.61,-3.66,-3.05,-4.89,-1.22,-1.22,-1.83,-4.88,-12.21,-1.23,-1.22,-3.66,-1.83,-3.05,-4.89,-1.22,-1.22,-1.83,-3.66,-2.44,-3.66,0.61,-0.61,-2.44,-2.44,-1.83,-1.83,-3.06,-0.61,-3.05,-4.89,-0.61,0,-1.83,-0.61,3.05,4.88,-2.44,-1.22,-5.5,-1.84,-1.22,0,-3.05,-5.5,-1.22,-4.27,-6.72,-5.5
0,-0.61,4.28,0.61,-2.45,-1.221,-5.49,-4.27,-7.33,-1.83,-1.83,-3.06,-6.71,-17.1,-2.45,-1.83,-5.49,-3.05,-4.27,-7.33,-1.83,-1.83,-3.06,-4.27,-3.67,-4.88,0,-1.22,-4.27,-3.66,-3.05,-3.06,-4.28,-1.22,-4.88,-6.11,-1.84,-1.22,-3.66,-1.83,2.44,2.44,-4.27,-2.44,-6.72,-3.67,-3.67,-1.83,-4.27,-7.94,-1.22,-6.71,-9.16,-7.33
3.05,0,4.89,1.22,-2.45,-1.829,-6.72,-5.49,-9.16,-2.44,-2.44,-3.06,-7.93,-19.54,-3.06,-3.66,-7.33,-3.66,-5.49,-9.16,-2.44,-2.44,-3.06,-4.27,-4.28,-6.1,0,-1.83,-4.88,-4.88,-4.88,-4.28,-6.11,-1.22,-6.1,-7.94,-1.84,-2.44,-6.11,-3.66,0,-0.61,-4.88,-3.05,-7.94,-5.5,-5.5,-3.05,-5.49,-10.39,-1.22,-7.32,-12.22,-7.94
4.88,0,4.28,2.44,-3.06,-1.829,-8.55,-6.72,-10.99,-3.05,-3.05,-3.67,-9.15,-21.37,-4.89,-4.88,-9.77,-4.88,-6.72,-10.99,-3.05,-3.05,-3.67,-5.49,-4.89,-7.33,0,-1.83,-7.32,-6.1,-5.49,-4.89,-6.72,-1.83,-6.71,-9.77,-1.84,-3.05,-7.94,-4.88,-2.44,-4.28,-6.11,-3.66,-8.55,-7.33,-6.72,-4.27,-6.71,-11.61,-1.83,-9.16,-14.05,-9.16
4.27,0,3.06,2.44,-2.45,-1.829,-9.16,-7.94,-11.6,-3.66,-3.05,-3.67,-10.38,-22.59,-5.5,-6.71,-10.99,-6.1,-7.94,-11.6,-3.66,-3.05,-3.67,-5.49,-5.5,-7.94,0,-1.83,-7.93,-7.32,-6.72,-6.11,-7.33,-1.83,-7.93,-11,-3.06,-3.66,-10.38,-6.11,-4.28,-8.55,-6.11,-3.66,-9.16,-9.16,-8.55,-5.49,-6.71,-12.83,-1.83,-10.99,-15.88,-9.77
2.44,-0.61,3.06,1.83,-2.45,-1.829,-10.38,-7.94,-13.44,-3.05,-3.66,-4.28,-11.6,-23.81,-6.72,-7.93,-12.21,-6.1,-7.94,-13.44,-3.05,-3.66,-4.28,-5.49,-6.11,-8.55,0.61,-1.83,-8.55,-7.93,-7.94,-6.72,-8.55,-1.83,-9.16,-11.61,-3.06,-4.27,-10.99,-7.33,-6.11,-12.22,-7.33,-3.66,-9.77,-9.77,-9.77,-5.49,-7.94,-14.05,-2.44,-11.6,-16.49,-10.38
1.83,-0.61,2.45,1.83,-1.84,-1.829,-10.99,-9.16,-14.05,-3.66,-3.66,-4.28,-11.6,-24.42,-7.33,-8.54,-12.82,-6.1,-9.16,-14.05,-3.66,-3.66,-4.28,-6.1,-6.72,-9.77,0.61,-2.44,-9.16,-8.55,-8.55,-6.72,-8.55,-1.83,-9.77,-12.83,-3.67,-4.88,-12.21,-8.55,-7.94,-16.49,-7.33,-4.27,-9.77,-11.61,-10.99,-5.49,-7.94,-15.27,-1.83,-12.21,-17.1,-11.6
1.22,-1.83,1.23,1.22,-2.45,-1.829,-12.21,-9.77,-15.27,-3.66,-3.66,-4.89,-12.21,-24.42,-7.94,-9.15,-13.43,-6.1,-9.77,-15.27,-3.66,-3.66,-4.89,-5.49,-7.33,-9.16,0,-2.44,-9.77,-9.16,-9.77,-7.33,-8.55,-1.83,-10.38,-12.83,-3.67,-5.49,-13.43,-8.55,-9.16,-19.54,-7.94,-4.27,-9.77,-12.22,-11.61,-6.71,-8.55,-15.27,-2.44,-12.82,-17.71,-10.99
0,-1.83,0.62,1.22,-3.06,-1.829,-12.82,-10.38,-15.88,-3.66,-3.66,-4.89,-12.82,-24.42,-7.94,-10.38,-14.04,-6.72,-10.38,-15.88,-3.66,-3.66,-4.89,-6.72,-7.33,-9.77,0.61,-2.44,-9.77,-9.16,-10.38,-7.94,-9.16,-1.83,-10.38,-12.83,-3.67,-5.49,-14.05,-9.16,-9.16,-22.6,-7.94,-3.66,-9.77,-14.05,-12.83,-6.71,-8.55,-16.49,-2.44,-14.04,-18.32,-11.6
-1.22,-3.05,0.62,0.61,-3.06,-1.221,-13.43,-10.38,-15.88,-3.66,-4.27,-5.5,-11.6,-24.42,-8.55,-10.99,-14.65,-7.33,-10.38,-15.88,-3.66,-4.27,-5.5,-6.72,-7.33,-9.16,0.61,-3.05,-10.38,-9.16,-10.99,-7.94,-9.77,-0.61,-10.38,-12.22,-4.28,-5.49,-14.66,-9.77,-10.99,-25.65,-7.33,-4.27,-10.38,-14.05,-14.05,-7.32,-8.55,-16.49,-2.44,-14.65,-18.32,-12.21
-1.83,-3.05,0.62,0.61,-3.06,-1.221,-13.43,-10.38,-15.88,-4.28,-4.88,-4.89,-10.99,-23.81,-8.55,-10.99,-14.04,-6.72,-10.38,-15.88,-4.28,-4.88,-4.89,-6.1,-7.33,-9.16,0.61,-3.05,-10.38,-9.16,-11.6,-7.94,-9.16,-0.61,-10.38,-12.22,-4.28,-5.49,-15.88,-10.38,-11.6,-26.26,-7.94,-4.27,-10.38,-14.66,-14.05,-7.32,-9.16,-16.49,-2.44,-14.65,-18.32,-12.21
-2.45,-3.66,-0.61,0,-3.06,-0.61,-12.82,-9.16,-15.88,-4.28,-4.27,-4.89,-10.99,-22.59,-9.16,-11.6,-14.04,-7.33,-9.16,-15.88,-4.28,-4.27,-4.89,-6.1,-7.33,-8.55,1.22,-2.44,-9.77,-9.16,-10.99,-7.94,-8.55,-0.61,-10.99,-11.61,-4.28,-6.1,-16.49,-10.38,-12.21,-28.09,-7.33,-4.27,-10.38,-15.88,-14.66,-6.71,-8.55,-16.49,-1.83,-14.65,-18.32,-12.21
-1.83,-3.66,-0.61,0,-2.45,-0.61,-13.43,-9.77,-15.88,-3.66,-4.88,-4.89,-9.15,-21.37,-8.55,-12.21,-14.04,-6.72,-9.77,-15.88,-3.66,-4.88,-4.89,-6.1,-7.33,-7.94,0.61,-3.05,-9.16,-9.16,-11.6,-7.94,-8.55,-0.61,-10.99,-11,-3.67,-6.1,-16.49,-10.38,-12.21,-27.48,-7.33,-3.66,-10.38,-15.88,-14.66,-7.32,-7.94,-15.88,-2.44,-15.26,-17.71,-12.21
-2.45,-4.27,-0.61,-0.61,-3.06,-1.221,-12.82,-9.16,-15.88,-3.66,-4.27,-4.89,-7.93,-20.76,-8.55,-11.6,-13.43,-7.33,-9.16,-15.88,-3.66,-4.27,-4.89,-6.1,-7.33,-6.71,0.61,-2.44,-8.55,-7.93,-12.21,-7.94,-7.94,-0.61,-10.38,-10.38,-4.28,-6.1,-15.88,-10.38,-12.21,-29.31,-6.11,-3.66,-10.38,-15.88,-15.88,-6.71,-7.33,-14.66,-2.44,-15.26,-18.32,-12.21
-3.06,-4.27,-1.22,-0.61,-2.45,0,-12.21,-8.55,-15.27,-3.66,-4.27,-4.89,-6.71,-19.54,-8.55,-11.6,-13.43,-6.72,-8.55,-15.27,-3.66,-4.27,-4.89,-6.72,-6.72,-6.1,0.61,-2.44,-8.55,-7.32,-12.21,-6.72,-7.33,0,-10.38,-9.16,-3.67,-5.49,-16.49,-9.77,-12.21,-28.7,-6.72,-4.27,-10.38,-15.88,-15.27,-6.71,-7.33,-14.05,-1.83,-15.26,-17.71,-12.21
-2.45,-4.27,0,-0.61,-1.84,0,-11.6,-8.55,-14.66,-3.66,-4.27,-4.89,-5.49,-17.71,-8.55,-10.99,-11.6,-6.72,-8.55,-14.66,-3.66,-4.27,-4.89,-6.1,-6.72,-4.88,1.22,-1.83,-7.32,-6.71,-12.21,-6.72,-7.33,0.61,-9.77,-7.94,-3.67,-5.49,-15.27,-9.77,-12.21,-28.09,-5.5,-3.66,-9.77,-15.88,-14.66,-6.1,-6.71,-13.44,-2.44,-14.65,-16.49,-11.6
-2.45,-3.66,-0.61,-1.22,-1.23,0.611,-11.6,-7.33,-14.05,-3.05,-4.27,-4.89,-4.27,-15.88,-7.94,-10.99,-9.77,-5.49,-7.33,-14.05,-3.05,-4.27,-4.89,-6.1,-5.5,-3.66,0.61,-1.83,-7.32,-6.71,-10.99,-6.11,-6.11,0,-9.16,-6.72,-3.06,-4.88,-15.27,-9.77,-11.6,-28.09,-5.5,-3.66,-9.16,-15.27,-14.66,-6.71,-6.1,-12.22,-2.44,-15.26,-16.49,-11.6
-1.83,-4.27,0,-0.61,-0.62,1.222,-11.6,-6.72,-12.83,-3.05,-3.66,-4.28,-3.05,-13.43,-7.33,-10.38,-9.16,-6.1,-6.72,-12.83,-3.05,-3.66,-4.28,-6.1,-4.89,-2.44,0,-1.83,-6.71,-6.1,-10.99,-6.72,-5.5,0.61,-8.55,-5.5,-3.06,-4.88,-15.27,-8.55,-12.21,-27.48,-4.27,-3.66,-9.16,-15.88,-14.05,-5.49,-5.49,-11.61,-2.44,-14.65,-15.27,-10.99
-1.83,-3.66,0,0,0,1.832,-10.38,-5.49,-12.21,-3.05,-3.66,-3.67,-1.22,-10.99,-7.94,-10.99,-7.94,-5.49,-5.49,-12.21,-3.05,-3.66,-3.67,-5.49,-4.28,-1.83,0.61,-1.22,-5.49,-4.88,-10.99,-6.11,-5.5,1.22,-7.93,-4.28,-1.84,-3.66,-15.27,-7.33,-11.6,-26.26,-3.66,-3.05,-8.55,-15.27,-14.05,-5.49,-4.88,-11,-2.44,-14.65,-15.27,-10.38
-1.22,-3.66,0,-0.61,0.61,2.443,-9.16,-4.88,-10.99,-3.05,-3.66,-3.67,0,-8.55,-6.11,-9.77,-6.11,-5.49,-4.88,-10.99,-3.05,-3.66,-3.67,-4.88,-3.67,0,0.61,-1.22,-4.88,-4.27,-10.99,-5.5,-4.89,1.22,-6.71,-2.45,-1.84,-3.66,-15.27,-7.33,-11.6,-25.65,-2.44,-2.44,-7.94,-15.27,-13.44,-5.49,-3.66,-9.78,-1.83,-13.43,-14.05,-10.38
-0.61,-3.66,0.62,-0.61,0.61,2.443,-9.16,-4.27,-10.38,-2.44,-3.05,-3.67,1.84,-5.49,-5.5,-9.15,-4.88,-4.88,-4.27,-10.38,-2.44,-3.05,-3.67,-3.66,-2.44,1.22,0.61,-0.61,-4.27,-3.66,-10.38,-4.89,-4.28,1.22,-6.1,-1.22,-1.84,-3.66,-15.27,-5.49,-10.99,-23.82,-1.22,-2.44,-7.33,-14.66,-12.83,-4.88,-2.44,-9.16,-1.22,-12.21,-12.83,-9.77
0,-3.05,0.62,0,0.61,3.661,-7.94,-3.66,-8.55,-2.44,-3.05,-3.67,3.058,-1.83,-5.5,-9.15,-4.27,-4.27,-3.66,-8.55,-2.44,-3.05,-3.67,-4.27,-1.22,2.44,0.61,-0.61,-3.66,-2.44,-10.38,-4.89,-3.67,1.22,-6.1,0.61,-1.23,-3.05,-14.66,-4.88,-10.99,-22.6,-1.22,-1.83,-6.72,-14.66,-12.22,-5.49,-1.83,-8.55,-1.83,-11.6,-12.22,-9.16
0,-2.44,0.62,0,1.83,4.271,-6.72,-1.83,-7.33,-2.44,-2.44,-3.06,4.89,1.22,-4.89,-7.93,-2.44,-3.66,-1.83,-7.33,-2.44,-2.44,-3.06,-3.66,0,3.67,0.61,0,-3.05,-1.83,-9.77,-3.67,-2.45,1.22,-4.27,2.44,-0.61,-2.44,-14.05,-4.27,-10.99,-20.76,0.61,-1.22,-5.5,-14.66,-11.61,-4.88,-1.22,-7.33,-1.22,-11.6,-11.61,-8.55
1.22,-1.22,1.23,0,2.44,4.881,-5.49,-1.83,-6.11,-1.83,-3.05,-2.44,6.722,4.28,-4.28,-7.32,-1.22,-3.66,-1.83,-6.11,-1.83,-3.05,-2.44,-3.05,1.22,4.28,1.22,0,-1.83,-1.22,-9.16,-3.67,-1.84,1.22,-3.66,3.66,0,-1.83,-13.43,-2.44,-10.38,-18.93,1.22,-0.61,-4.89,-14.05,-10.99,-4.27,0,-6.72,-1.22,-10.38,-10.38,-7.33
