0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
0,0,0,0,0,0,0,0
-0.61,0,-3.05,-1.83,0.61,0,0,0
-0.61,0,-6.71,-3.06,1.83,6.72,0,0
-1.221,0.61,-8.55,-4.28,1.83,9.77,0,0
-1.829,0,-10.38,-5.5,0.61,7.33,0.61,0.61
-1.829,0,-12.21,-6.11,0,4.89,-0.61,0
-1.829,1.22,-13.43,-7.33,-0.61,2.45,-1.83,-1.83
-1.829,0.61,-14.65,-7.33,-1.22,0.61,-2.44,-3.05
-1.829,1.22,-15.26,-7.94,-2.44,-1.22,-4.28,-4.27
-1.829,1.83,-17.09,-7.94,-1.83,-2.44,-4.89,-6.11
-1.829,1.22,-16.48,-7.94,-2.44,-3.66,-6.11,-7.33
-1.221,1.83,-17.09,-7.94,-3.05,-4.88,-6.72,-8.55
-1.221,1.83,-16.48,-7.94,-3.05,-5.49,-7.33,-9.77
-0.61,2.44,-16.48,-7.94,-3.05,-6.71,-7.33,-10.38
-0.61,2.44,-16.48,-6.72,-3.66,-6.71,-7.94,-10.99
-1.221,3.05,-15.26,-6.11,-3.66,-6.71,-7.94,-11.6
0,2.44,-14.04,-5.5,-3.66,-7.94,-8.55,-12.21
0,3.66,-13.43,-4.28,-3.66,-6.71,-8.55,-12.21
0.611,4.27,-11.6,-2.44,-4.27,-6.71,-7.94,-12.21
1.222,4.88,-10.38,-1.22,-3.66,-6.1,-8.55,-11.6
1.832,5.49,-8.55,0.61,-3.66,-5.49,-7.94,-11.6
2.443,5.49,-7.32,3.05,-3.66,-4.27,-8.55,-11.6
2.443,6.71,-5.49,4.88,-3.05,-3.05,-7.94,-10.38
3.661,6.1,-4.27,6.71,-3.05,-1.83,-7.33,-10.38
4.271,6.71,-1.83,8.55,-3.05,-0.61,-7.33,-10.38
4.881,7.32,0,10.989,-2.44,1.22,-7.33,-9.77
6.111,7.94,1.84,13.432,-1.83,3.67,-7.33,-9.16
7.331,8.55,3.67,14.65,-1.83,4.89,-6.72,-9.16
7.941,9.16,5.5,17.1,-1.22,6.72,-5.5,-7.94
7.941,10.38,7.33,18.32,0,9.16,-6.11,-7.94
9.771,10.99,8.55,20.76,0.61,10.99,-4.89,-7.33
10.381,10.99,10.38,21.98,1.22,13.44,-5.5,-6.72
10.991,12.21,11.61,23.2,1.83,15.27,-4.89,-6.11
12.211,12.82,13.44,25.03,3.05,17.1,-4.28,-5.5
